date,equity
2023-11-06,109976.38594748
2023-11-07,109976.38594748
2023-11-08,109976.38594748
2023-11-09,109976.38594748
2023-11-10,109976.38594748
2023-11-11,109976.38594748
2023-11-12,109976.38594748
2023-11-13,109976.38594748
2023-11-14,109976.38594748
2023-11-15,109976.38594748
2023-11-16,109976.38594748
2023-11-17,109976.38594748
2023-11-18,109976.38594748
2023-11-19,109976.38594748
2023-11-20,109976.38594748
2023-11-21,109976.38594748
2023-11-22,109976.38594748
2023-11-23,109976.38594748
2023-11-24,109976.38594748
2023-11-25,109976.38594748
2023-11-26,109976.38594748
2023-11-27,109976.38594748
2023-11-28,109976.38594748
2023-11-29,109976.38594748
2023-11-30,109976.38594748
2023-12-01,109976.38594748
2023-12-02,109976.38594748
2023-12-03,109976.38594748
2023-12-04,109976.38594748
2023-12-05,109976.38594748
2023-12-06,109976.38594748
2023-12-07,109976.38594748
2023-12-08,109976.38594748
2023-12-09,109976.38594748
2023-12-10,109976.38594748
2023-12-11,109976.38594748
2023-12-12,109976.38594748
2023-12-13,109976.38594748
2023-12-14,109976.38594748
2023-12-15,109976.38594748
2023-12-16,109976.38594748
2023-12-17,109976.38594748
2023-12-18,109976.38594748
2023-12-19,109976.38594748
2023-12-20,109976.38594748
2023-12-21,109976.38594748
2023-12-22,109976.38594748
2023-12-23,109976.38594748
2023-12-24,109976.38594748
2023-12-25,109976.38594748
2023-12-26,109976.38594748
2023-12-27,109976.38594748
2023-12-28,109976.38594748
2023-12-29,109976.38594748
2023-12-30,109976.38594748
2023-12-31,109976.38594748
2024-01-01,109976.38594748
2024-01-02,109976.38594748
2024-01-03,109976.38594748
2024-01-04,109976.38594748
2024-01-05,109976.38594748
2024-01-06,109976.38594748
2024-01-07,109976.38594748
2024-01-08,109976.38594748
2024-01-09,109976.38594748
2024-01-10,109976.38594748
2024-01-11,109976.38594748
2024-01-12,109976.38594748
2024-01-13,109976.38594748
2024-01-14,109976.38594748
2024-01-15,109976.38594748
2024-01-16,109976.38594748
2024-01-17,109976.38594748
2024-01-18,109976.38594748
2024-01-19,109976.38594748
2024-01-20,109976.38594748
2024-01-21,109976.38594748
2024-01-22,109976.38594748
2024-01-23,109976.38594748
2024-01-24,109976.38594748
2024-01-25,109976.38594748
2024-01-26,109976.38594748
2024-01-27,109976.38594748
2024-01-28,109976.38594748
2024-01-29,109976.38594748
2024-01-30,109976.38594748
2024-01-31,109976.38594748
2024-02-01,109976.38594748
2024-02-02,109976.38594748
2024-02-03,109976.38594748
2024-02-04,109976.38594748
2024-02-05,109976.38594748
2024-02-06,109976.38594748
2024-02-07,109976.38594748
2024-02-08,109976.38594748
2024-02-09,109976.38594748
2024-02-10,109976.38594748
2024-02-11,109976.38594748
2024-02-12,109976.38594748
2024-02-13,109976.38594748
2024-02-14,109976.38594748
2024-02-15,109976.38594748
2024-02-16,109976.38594748
2024-02-17,109976.38594748
2024-02-18,109976.38594748
2024-02-19,109976.38594748
2024-02-20,109976.38594748
2024-02-21,109976.38594748
2024-02-22,109976.38594748
2024-02-23,109976.38594748
2024-02-24,109976.38594748
2024-02-25,109976.38594748
2024-02-26,109976.38594748
2024-02-27,109976.38594748
2024-02-28,109976.38594748
2024-02-29,109976.38594748
2024-03-01,109976.38594748
2024-03-02,109976.38594748
2024-03-03,109976.38594748
2024-03-04,109976.38594748
2024-03-05,109976.38594748
2024-03-06,109976.38594748
2024-03-07,109976.38594748
2024-03-08,109976.38594748
2024-03-09,109976.38594748
2024-03-10,109976.38594748
2024-03-11,109976.38594748
2024-03-12,109976.38594748
2024-03-13,109976.38594748
2024-03-14,109976.38594748
2024-03-15,109976.38594748
2024-03-16,109976.38594748
2024-03-17,109976.38594748
2024-03-18,109976.38594748
2024-03-19,109976.38594748
2024-03-20,109976.38594748
2024-03-21,109976.38594748
2024-03-22,109976.38594748
2024-03-23,109976.38594748
2024-03-24,109976.38594748
2024-03-25,109976.38594748
2024-03-26,109976.38594748
2024-03-27,109976.38594748
2024-03-28,109976.38594748
2024-03-29,109976.38594748
2024-03-30,109976.38594748
2024-03-31,109976.38594748
2024-04-01,109976.38594748
2024-04-02,109976.38594748
2024-04-03,109976.38594748
2024-04-04,109976.38594748
2024-04-05,109976.38594748
2024-04-06,109976.38594748
2024-04-07,109976.38594748
2024-04-08,109976.38594748
2024-04-09,109976.38594748
2024-04-10,109976.38594748
2024-04-11,109976.38594748
2024-04-12,109976.38594748
2024-04-13,109976.38594748
2024-04-14,109976.38594748
2024-04-15,109976.38594748
2024-04-16,109976.38594748
2024-04-17,109976.38594748
2024-04-18,109976.38594748
2024-04-19,109976.38594748
2024-04-20,109976.38594748
2024-04-21,109976.38594748
2024-04-22,109976.38594748
2024-04-23,109976.38594748
2024-04-24,109976.38594748
2024-04-25,109976.38594748
2024-04-26,109976.38594748
2024-04-27,109976.38594748
2024-04-28,109976.38594748
2024-04-29,109976.38594748
2024-04-30,109976.38594748
2024-05-01,109976.38594748
2024-05-02,109976.38594748
2024-05-03,109976.38594748
2024-05-04,109976.38594748
2024-05-05,109976.38594748
2024-05-06,109976.38594748
2024-05-07,109976.38594748
2024-05-08,109976.38594748
2024-05-09,109976.38594748
2024-05-10,109976.38594748
2024-05-11,109976.38594748
2024-05-12,109976.38594748
2024-05-13,109976.38594748
2024-05-14,109976.38594748
2024-05-15,109976.38594748
2024-05-16,109976.38594748
2024-05-17,109976.38594748
2024-05-18,109976.38594748
2024-05-19,109976.38594748
2024-05-20,109976.38594748
2024-05-21,109976.38594748
2024-05-22,109976.38594748
2024-05-23,109976.38594748
2024-05-24,109976.38594748
2024-05-25,109976.38594748
2024-05-26,109976.38594748
2024-05-27,109976.38594748
2024-05-28,109976.38594748
2024-05-29,109976.38594748
2024-05-30,109976.38594748
2024-05-31,109976.38594748
2024-06-01,109976.38594748
2024-06-02,109976.38594748
2024-06-03,109976.38594748
2024-06-04,109976.38594748
2024-06-05,109976.38594748
2024-06-06,109976.38594748
2024-06-07,109976.38594748
2024-06-08,109976.38594748
2024-06-09,109976.38594748
2024-06-10,109976.38594748
2024-06-11,109976.38594748
2024-06-12,109976.38594748
2024-06-13,109976.38594748
2024-06-14,109976.38594748
2024-06-15,109976.38594748
2024-06-16,109976.38594748
2024-06-17,109976.38594748
2024-06-18,109976.38594748
2024-06-19,109976.38594748
2024-06-20,109976.38594748
2024-06-21,109976.38594748
2024-06-22,109976.38594748
2024-06-23,109976.38594748
2024-06-24,109976.38594748
2024-06-25,111417.38219726749
2024-06-26,110499.6821972675
2024-06-27,111321.5821972675
2024-06-28,110069.38219726749
2024-06-29,110621.9821972675
2024-06-30,112405.5821972675
2024-07-01,112523.1821972675
2024-07-02,111763.1821972675
2024-07-03,109847.5821972675
2024-07-04,106685.4821972675
2024-07-05,106244.4821972675
2024-07-06,107855.5821972675
2024-07-07,105470.4821972675
2024-07-08,106325.9821972675
2024-07-09,107662.78219726749
2024-07-10,107346.5821972675
2024-07-11,106955.0821972675
2024-07-12,107509.5821972675
2024-07-13,108813.5821972675
2024-07-14,110405.5821972675
2024-07-15,114320.1821972675
2024-07-16,114649.5821972675
2024-07-17,113695.28219726749
2024-07-18,113599.4821972675
2024-07-19,116267.4821972675
2024-07-20,116735.18219726751
2024-07-21,117777.5821972675
2024-07-22,117138.78219726749
2024-07-23,115555.9821972675
2024-07-24,114990.38219726749
2024-07-25,115412.5821972675
2024-07-26,117522.0821972675
2024-07-27,117513.38219726749
2024-07-28,117855.0821972675
2024-07-29,116389.5821972675
2024-07-30,115798.88219726749
2024-07-31,114241.38219726749
2024-08-01,114968.4821972675
2024-08-02,111123.28219726749
2024-08-03,110324.1821972675
2024-08-04,107784.0821972675
2024-08-05,103642.6821972675
2024-08-06,105630.78219726749
2024-08-07,104742.4821972675
2024-08-08,111299.38219726749
2024-08-09,110448.1821972675
2024-08-10,110529.4821972675
2024-08-11,108332.6821972675
2024-08-12,108963.1821972675
2024-08-13,110190.0821972675
2024-08-14,108287.6821972675
2024-08-15,107150.5821972675
2024-08-16,108494.4821972675
2024-08-17,109108.0821972675
2024-08-18,108029.5821972675
2024-08-19,109038.0821972675
2024-08-20,108622.4821972675
2024-08-21,110759.5821972675
2024-08-22,109989.4821972675
2024-08-23,113659.4821972675
2024-08-24,113756.0821972675
2024-08-25,113829.78219726749
2024-08-26,112447.1821972675
2024-08-27,109024.0821972675
2024-08-28,108649.5821972675
2024-08-29,108962.78219726749
2024-08-30,108735.88219726749
2024-08-31,108581.4821972675
2024-09-01,106907.6821972675
2024-09-02,108751.6821972675
2024-09-03,107091.4821972675
2024-09-04,107584.38219726749
2024-09-05,105785.28219726749
2024-09-06,103567.28219726749
2024-09-07,103774.4821972675
2024-09-08,104479.1821972675
2024-09-09,106649.5821972675
2024-09-10,107248.6821972675
2024-09-11,106945.5821972675
2024-09-12,107736.5821972675
2024-09-13,110095.78219726749
2024-09-14,109603.5821972675
2024-09-15,108740.0821972675
2024-09-16,107826.5821972675
2024-09-17,109920.5821972675
2024-09-18,111374.88219726749
2024-09-19,112566.4821972675
2024-09-20,112815.28219726749
2024-09-21,112960.1821972675
2024-09-22,113197.9821972675
2024-09-23,112941.5821972675
2024-09-24,113882.6821972675
2024-09-25,112757.9821972675
2024-09-26,114778.78219726749
2024-09-27,115389.18219726751
2024-09-28,115462.18219726751
2024-09-29,115207.68219726751
2024-09-30,112948.6821972675
2024-10-01,110416.38219726749
2024-10-02,110262.1821972675
2024-10-03,110366.78219726749
2024-10-04,111693.9821972675
2024-10-05,111662.6821972675
2024-10-06,112428.88219726749
2024-10-07,111830.28219726749
2024-10-08,111771.28219726749
2024-10-09,110245.9821972675
2024-10-10,109932.78219726749
2024-10-11,112148.5821972675
2024-10-12,112815.5821972675
2024-10-13,112479.38219726749
2024-10-14,115704.4821972675
2024-10-15,116683.68219726751
2024-10-16,117231.5821972675
2024-10-17,117041.0821972675
2024-10-18,118047.38219726749
2024-10-19,117996.68219726751
2024-10-20,118659.68219726751
2024-10-21,118587.3299678225
2024-10-22,118587.3299678225
2024-10-23,118587.3299678225
2024-10-24,118587.3299678225
2024-10-25,118587.3299678225
2024-10-26,118587.3299678225
2024-10-27,118587.3299678225
2024-10-28,118587.3299678225
2024-10-29,118587.3299678225
2024-10-30,118587.3299678225
2024-10-31,118587.3299678225
2024-11-01,118587.3299678225
2024-11-02,118587.3299678225
2024-11-03,118587.3299678225
2024-11-04,118587.3299678225
2024-11-05,118587.3299678225
2024-11-06,118587.3299678225
2024-11-07,118587.3299678225
2024-11-08,118587.3299678225
2024-11-09,118587.3299678225
2024-11-10,118587.3299678225
2024-11-11,118587.3299678225
2024-11-12,118587.3299678225
2024-11-13,118587.3299678225
2024-11-14,118587.3299678225
2024-11-15,118587.3299678225
2024-11-16,118587.3299678225
2024-11-17,118587.3299678225
2024-11-18,118587.3299678225
2024-11-19,118587.3299678225
2024-11-20,118587.3299678225
2024-11-21,118587.3299678225
2024-11-22,118587.3299678225
2024-11-23,118587.3299678225
2024-11-24,118587.3299678225
2024-11-25,118587.3299678225
2024-11-26,118587.3299678225
2024-11-27,118587.3299678225
2024-11-28,118587.3299678225
2024-11-29,118587.3299678225
2024-11-30,118587.3299678225
2024-12-01,118587.3299678225
2024-12-02,118587.3299678225
2024-12-03,118587.3299678225
2024-12-04,118587.3299678225
2024-12-05,118587.3299678225
2024-12-06,118587.3299678225
2024-12-07,118587.3299678225
2024-12-08,118587.3299678225
2024-12-09,118587.3299678225
2024-12-10,118587.3299678225
2024-12-11,118587.3299678225
2024-12-12,118587.3299678225
2024-12-13,118587.3299678225
2024-12-14,118587.3299678225
2024-12-15,118587.3299678225
2024-12-16,118587.3299678225
2024-12-17,118587.3299678225
2024-12-18,118587.3299678225
2024-12-19,118587.3299678225
2024-12-20,118587.3299678225
2024-12-21,118587.3299678225
2024-12-22,118587.3299678225
2024-12-23,118587.3299678225
2024-12-24,118587.3299678225
2024-12-25,118587.3299678225
2024-12-26,118587.3299678225
2024-12-27,118587.3299678225
2024-12-28,118587.3299678225
2024-12-29,118587.3299678225
2024-12-30,118587.3299678225
2024-12-31,118587.3299678225
